cluster,names,scores,logfoldchanges,pvals,pvals_adj
5,CCL3,51.330063,,0.0,0.0
5,SELENOP,50.45691,,0.0,0.0
5,CST3,49.86237,,0.0,0.0
5,CD14,48.58478,,0.0,0.0
5,AIF1,48.05095,,0.0,0.0
5,MS4A6A,47.826782,,0.0,0.0
5,HLA-DQB1,53.50855,,0.0,0.0
5,LIPA,37.28847,,2.523499271996444e-304,2.0356227460771315e-302
5,MRC1,37.15772,,3.290168529659238e-302,2.5923467391826736e-300
5,IGSF6,36.394466,,5.207526586592737e-290,4.009795471676407e-288
5,FOLR2,36.08215,,4.321872188581042e-285,3.253889549980571e-283
5,NFKBIA,36.059128,,9.921645000629196e-285,7.3075072308982e-283
5,SOD2,35.93754,,7.923812476887912e-283,5.711888653552393e-281
5,CTSC,35.459427,,2.075874816554036e-275,1.465221641351057e-273
5,ARL4C,35.240295,,4.8311444941342776e-272,3.3403913359442717e-270
5,FRMD4B,34.745888,,1.59910580698186e-264,1.0835540948109083e-262
6,PTPRC,58.756874,,0.0,0.0
6,SLC38A1,37.72595,,0.0,0.0
6,CELF2,37.832253,,0.0,0.0
6,TRBC1,38.122078,,0.0,0.0
6,CCL4,38.261417,,0.0,0.0
6,RAC2,38.48216,,0.0,0.0
6,PRKCH,38.6105,,0.0,0.0
6,PPP2R5C,38.625523,,0.0,0.0
6,STK17B,38.644962,,0.0,0.0
6,DNAJB1,38.77714,,0.0,0.0
6,STK17A,39.69898,,0.0,0.0
6,CDC42SE2,40.799934,,0.0,0.0
6,CD48,40.9274,,0.0,0.0
6,ARHGAP15,41.08209,,0.0,0.0
6,RHOH,41.33894,,0.0,0.0
6,CST3,-48.459637,,0.0,0.0
6,TNFAIP3,43.304928,,0.0,0.0
6,CCL5,56.831215,,0.0,0.0
6,NKG7,56.522285,,0.0,0.0
6,CD69,56.37279,,0.0,0.0
6,GZMA,49.451622,,0.0,0.0
6,STAT4,48.676373,,0.0,0.0
6,CST7,47.46038,,0.0,0.0
6,GNG2,42.776985,,0.0,0.0
6,CD247,47.276333,,0.0,0.0
6,SKAP1,46.33332,,0.0,0.0
6,DUSP2,45.7241,,0.0,0.0
6,TRBC2,44.97344,,0.0,0.0
6,IL2RG,43.400402,,0.0,0.0
6,IL32,47.448685,,0.0,0.0
6,CTSW,37.598625,,2.26366732679063e-309,2.473969323602148e-307
6,KLRD1,37.486546,,1.5259912732021322e-307,1.6156432605027575e-305
6,PRKG1,-37.313095,,1.0064596393138327e-304,1.0332985630288683e-302
6,CD96,36.962433,,4.5989725890795725e-299,4.582740921118115e-297
6,YPEL5,36.661636,,2.9861273211090368e-294,2.8905712468335473e-292
6,RBP1,-36.63193,,8.876651463845848e-294,8.353915322086037e-292
6,CORO1A,36.072994,,6.014371567488613e-285,5.507213748824708e-283
6,ADGRE5,36.017487,,4.454329073680059e-284,3.971386026744221e-282
6,GZMH,35.74431,,8.109302822143349e-280,7.044696913185044e-278
6,SIK3,35.08088,,1.3193557385928153e-269,1.1174943105881145e-267
6,HCST,34.67736,,1.7288313292133082e-263,1.4286050105791922e-261
6,SYTL3,34.671127,,2.14658289797246e-263,1.7315768710311179e-261
6,CEBPD,-34.390728,,3.469736386527734e-259,2.733829506408363e-257
6,TRAC,34.270855,,2.1332603031970143e-257,1.642610433461701e-255
6,REL,33.56167,,6.083662869720741e-247,4.580322178358638e-245
6,KLRK1,33.11559,,1.7728858677658653e-240,1.3057689826066852e-238
6,PEBP1,-33.092876,,3.762753496902349e-240,2.7123848611713103e-238
6,MAPRE2,32.950764,,4.125385355662264e-238,2.9118344968716146e-236
6,BCL11B,32.739063,,4.3454302401081455e-235,3.004554623160489e-233
6,ITGA4,32.548145,,2.2241585694192686e-232,1.5070898466384963e-230
7,HLA-DQA1,37.423077,,1.6468172202427996e-306,5.5794167421826055e-303
7,CD83,35.387333,,2.6742510758694015e-274,4.530181322522766e-271
7,HLA-DQB1,35.24505,,4.085647724259141e-272,4.614058163263323e-269
7,HLA-DPA1,33.551067,,8.685580973605026e-247,7.356687084643456e-244
7,HLA-DPB1,33.32601,,1.6218549464133433e-243,1.0989689116896815e-240
7,HLA-DRB1,33.316513,,2.226321630089267e-243,1.257129613790406e-240
7,REL,30.188456,,3.3575857285013835e-200,1.6250714925946696e-197
7,HDAC9,25.565584,,3.6844839906599866e-144,1.5603789700445043e-141
7,GPR183,25.324947,,1.6970618313304566e-141,6.388494982830652e-139
7,CPVL,25.257074,,9.469863647724772e-141,3.208389803849153e-138
7,SLC8A1,24.758509,,2.510597772607564e-135,7.732641139631297e-133
7,RBP1,-24.240019,,8.426096655633308e-130,2.378967955773804e-127
7,CST3,23.863543,,7.326582685205269e-126,1.9094201644211888e-123
7,NR4A3,23.831701,,1.567690025841869e-125,3.7938098625373225e-123
7,SAT1,23.715048,,2.5221476411249986e-124,5.696690805420996e-122
7,SIPA1L1,23.695442,,4.017668895119719e-124,8.507413885416005e-122
7,CCSER1,23.67057,,7.248465760595753e-124,1.4445765880528476e-121
7,NFKB1,23.30074,,4.357340218564318e-120,8.201482589164394e-118
7,TXNIP,-22.910213,,3.6754657746577384e-116,6.55393581291601e-114
7,RGS2,22.814987,,3.2555106059795175e-115,5.514834966529303e-113
7,LDLRAD4,22.225866,,1.9312148995474261e-109,3.1156933712698476e-107
7,IFI30,21.873045,,4.691902903114517e-106,7.225530470796356e-104
7,LYZ,21.828308,,1.2496130555744977e-105,1.8407343618636515e-103
7,LYN,21.785538,,3.18185688414424e-105,4.491721301450285e-103
7,PRKG1,-21.36227,,2.998734794874576e-101,4.063885394014025e-99
7,BCL2A1,21.332312,,5.6923325073440435e-101,7.417547128800623e-99
7,LCP1,20.875206,,8.99799639114573e-97,1.1290819175259901e-94
7,DUSP2,20.563295,,5.85206841612309e-94,7.081002783508938e-92
7,HLA-DRB5,20.24749,,3.738151096184099e-91,4.3671916944385266e-89
7,CD86,20.188456,,1.2366996026093733e-90,1.396646084546852e-88
7,CSF2RA,20.105642,,6.586165504148032e-90,7.198041525178559e-88
7,RNASE1,-19.762863,,6.217704828453677e-87,6.582994987125331e-85
7,PAK1,19.54128,,4.8939414545779797e-85,5.0244465600333925e-83
7,ALCAM,19.47017,,1.9662084758727646e-84,1.959268916546155e-82
7,C15orf48,19.313354,,4.147406628550862e-83,4.014689616437234e-81
7,AFF3,19.11595,,1.8600133079926548e-81,1.7504791909664206e-79
7,PTPRC,18.841772,,3.4327181018384626e-79,3.1432564673050567e-77
7,NR4A2,18.813965,,5.803005252132948e-79,5.173837314270113e-77
7,BASP1,18.65176,,1.2218701882035542e-77,1.0614605634958055e-75
7,CELF2,18.602377,,3.073702502276608e-77,2.603426019428287e-75
7,ATP2B1,18.577955,,4.8462803504646186e-77,4.004682396920519e-75
7,RAPGEF1,18.472239,,3.454516060059373e-76,2.786642955114561e-74
7,CREM,18.44355,,5.875347245412216e-76,4.6292270854550205e-74
7,DENND1B,18.41488,,9.980934647805403e-76,7.68531967881016e-74
7,NABP1,18.315126,,6.26802925778957e-75,4.719129583420236e-73
7,PLAUR,18.309189,,6.990360195007374e-75,5.148552247974996e-73
7,PHACTR1,18.15242,,1.2286620800260675e-73,8.856823674741099e-72
7,SPARC,-18.111073,,2.6062487209688425e-73,1.8395772222171747e-71
7,PDE4D,-18.030947,,1.1136651926145946e-72,7.70019933179234e-71
7,CISD1,-17.970375,,3.32460792139127e-72,2.2527543275347246e-70
8,MGP,26.118792,,2.2304730023089765e-150,7.556842531822813e-147
8,C11orf96,25.116976,,3.245250171751743e-139,5.497453790947453e-136
8,CALD1,24.547682,,4.5787508020517156e-133,5.1709359057837376e-130
8,SPARC,22.910221,,3.6746821277631054e-116,3.0131463380897013e-113
8,TAGLN,22.90191,,4.4467921164251794e-116,3.0131463380897013e-113
8,COL4A2,22.80954,,3.6871063384967e-115,2.0819860458044697e-112
