group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,ZNF558,0.008669855,-0.9143111,0.9930825430291284,0.994256399462969,1.0,1.0
1,SDHAF4,0.0063880733,0.17365485,0.9949030897612902,0.9957848354833828,1.0,1.0
1,ZNF221,-0.0029843098,-0.35078862,0.9976188688860287,0.9976188688860287,1.0,1.0
1,PIH1D2,-0.0040489887,-0.10598087,0.9967693833615385,0.9970636760640368,1.0,1.0
1,ZFX-AS1,-0.005951429,0.36006337,0.9952514749483513,0.9958393376033711,1.0,1.0
1,FUZ,-0.008913963,0.84154,0.9928877803266518,0.994256399462969,1.0,1.0
1,TRO,-0.010880582,-1.7493842,0.9913187226163049,0.9933711423318667,1.0,1.0
1,ATP1A1-AS1,-0.012349816,-0.2947778,0.9901465227571588,0.9924900648228562,1.0,1.0
1,CROCC,-0.013765186,,0.9890173175483514,0.9919451367240423,1.0,1.0
1,ZNF285,-0.01494447,-0.016243339,0.9880764823025245,0.9915886025002824,1.0,1.0
1,AC007114.1,-0.0162842,0.024765966,0.987007662451566,0.990809469743972,1.0,1.0
1,COX11,-0.018163718,,0.9855082457676966,0.9895974916007575,1.0,1.0
1,AC008147.2,-0.018255403,-0.0048122834,0.9854351047568726,0.9895974916007575,1.0,1.0
1,MMP19,-0.019679941,,0.9842986924115535,0.9892625244409207,1.0,1.0
1,PRMT9,-0.019956138,,0.9840783618556065,0.9892625244409207,1.0,1.0
1,AC022364.1,-0.021586966,-0.07507308,0.982777431232339,0.9886134017265927,1.0,1.0
1,GABRB1,-0.022150822,0.09725742,0.9823276470055413,0.9884544306666986,1.0,1.0
1,PIGX,-0.023945533,,0.9808960548119617,0.9873071401375301,1.0,1.0
1,EFCAB7,-0.02532423,2.928424,0.9797963483274635,0.9867865719778378,1.0,1.0
1,MRM2,-0.025511034,,0.9796473469479906,0.9867865719778378,1.0,1.0
1,ZFP28,-0.026895462,0.095542975,0.9785431138032741,0.9861106691152566,1.0,1.0
1,ZNF730,-0.030789733,0.020557418,0.975437228374617,0.983858687029831,1.0,1.0
