cluster,names,scores,logfoldchanges,pvals,pvals_adj
3,TPT1,43.323673,0.7775786,0.0,0.0
3,ANXA1,43.41294,2.169828,0.0,0.0
3,LILRA5,43.588825,4.213953,0.0,0.0
3,UPP1,45.374172,2.756818,0.0,0.0
3,LUCAT1,45.23416,3.7164533,0.0,0.0
3,ACTB,45.162956,1.0083451,0.0,0.0
3,GLIPR1,45.068943,2.7078068,0.0,0.0
3,PHACTR1,45.00687,2.5884674,0.0,0.0
3,FNDC3B,44.830196,1.907761,0.0,0.0
3,TOM1,44.81409,2.8687444,0.0,0.0
3,SERPINB1,44.768456,2.2106774,0.0,0.0
3,TKT,44.76234,2.6732185,0.0,0.0
3,SLC43A2,44.740414,3.9112158,0.0,0.0
3,HLA-DRB1,44.602875,2.4215517,0.0,0.0
3,LSP1,44.59951,2.6937644,0.0,0.0
3,NPC2,44.59915,1.9337395,0.0,0.0
3,GK,44.301785,2.7723143,0.0,0.0
3,ADGRE2,44.273476,3.401524,0.0,0.0
3,RASGEF1B,44.065598,2.6417592,0.0,0.0
3,EREG,43.993454,4.646115,0.0,0.0
3,LIMS1,43.942734,1.9552141,0.0,0.0
3,AP1S2,43.938015,2.4116478,0.0,0.0
3,CTSL,43.930176,2.470127,0.0,0.0
3,GMFG,43.917763,2.2248878,0.0,0.0
3,RAB20,43.698685,2.8821678,0.0,0.0
3,PTPRE,43.692226,2.2367067,0.0,0.0
4,STMN1,64.585396,3.755447,0.0,0.0
4,STARD3,38.60038,2.7591207,0.0,0.0
4,TUBA1A,38.3707,1.8373475,0.0,0.0
4,TAX1BP1,37.965916,1.7295047,0.0,0.0
4,B2M,-50.44046,-2.6586866,0.0,0.0
4,ZFP36,-38.73497,-2.438247,0.0,0.0
4,HSPA1A,-39.423916,-2.9243178,0.0,0.0
4,SIK3,-39.573948,-2.9858038,0.0,0.0
4,MBNL1,-39.59406,-3.6068249,0.0,0.0
4,TAGLN2,-40.093803,-3.2713232,0.0,0.0
4,ITM2B,-40.375557,-2.3174293,0.0,0.0
4,HLA-E,-41.490913,-3.218992,0.0,0.0
4,SRGN,-43.00558,-3.5810282,0.0,0.0
4,MALAT1,-43.79416,-2.700856,0.0,0.0
4,NEAT1,-48.633453,-4.0300193,0.0,0.0
4,HLA-C,-49.01645,-3.3786163,0.0,0.0
4,TUBB,38.945747,1.8837826,0.0,0.0
4,EEF1A1,39.60205,0.84651893,0.0,0.0
4,HLA-B,-51.42757,-4.162826,0.0,0.0
4,DKK4,40.61772,2.9431667,0.0,0.0
4,CISD1,61.94224,4.059305,0.0,0.0
4,RBP1,60.960705,3.5953696,0.0,0.0
4,PEBP1,58.0096,2.6928937,0.0,0.0
4,AC104126.1,56.454994,3.9090614,0.0,0.0
4,MUCL1,55.471222,3.52493,0.0,0.0
4,TMSB10,54.60467,1.7443204,0.0,0.0
4,SMPX,50.073994,3.7348723,0.0,0.0
4,CTNNBL1,48.194614,2.9192955,0.0,0.0
4,TRDC,42.887074,3.3241737,0.0,0.0
4,SRP14,45.354954,1.555949,0.0,0.0
4,CCN3,43.73553,2.8694293,0.0,0.0
4,DYNLL1,42.855278,1.5249553,0.0,0.0
4,RHEB,41.620052,1.9055994,0.0,0.0
4,RNASE1,41.26845,2.4943645,0.0,0.0
4,DKK3,44.122837,2.9334633,0.0,0.0
4,ITM2C,40.22725,2.3874645,0.0,0.0
4,NAMPT,-37.210278,-2.5288012,4.654238296773117e-303,2.612914537853275e-300
4,LRRIQ3,36.96779,2.657157,3.7723317764041456e-299,2.0620756752491293e-296
4,PTMS,36.787327,1.6907086,2.9442140976497625e-296,1.5681337240097658e-293
4,SNRPN,36.786587,2.337531,3.0255694200678694e-296,1.5711781998412445e-293
4,BST2,-36.61993,-4.035631,1.378027581189051e-293,6.981558272307065e-291
4,JMJD1C,-36.32424,-2.247014,6.704141337284801e-289,3.3156767585257118e-286
4,RGS13,36.2545,2.9825704,8.439407529958031e-288,4.0768226328439125e-285
4,HLA-A,-36.2362,-1.950781,1.6393919246169797e-287,7.739420240487251e-285
